SALES_DTL_ID,COMP_CODE,DIV_CODE,DOC_TYPE,INVNO,SM_CODE,INVDATE,ITEM_SERIAL,ITEM_CODE,ISCOMBOITEM,IS_REG_ITEM,SIZE,QTY,SALES_RATE,PUR_RATE,ITEM_DISCOUNT,NET_SALES_RATE,ANY_GIFT_ITEM,GIFT_ITEM_DESC,AMOUNT,NET_VALUE,TAX_PRCNT,Sales_Amnt,CST_AMT,CASHIER_CODE,CBU,DOC,MBU,DOM,ISDELETED,DELETEDON,DELETEDBY,VAT_PCT,Unit_Pur_Cost,Stk_Source_Refno,BTDI,DT_BTDI,BTDI_BY,hsn_code,gst_tax_pct,gst_tax_amnt,cgst_tax_amnt,sgst_tax_amnt,igst_tax_amnt,gst_sales_tax_amnt,item_desc
82,C015,DIV19,INC,INC/00000026/19-20/F788CB8A-ED3B-44CD-BE12-B6D487128FB6,6,00:00.0,2,107505,0,1,5,1,320,0,0,320,0,NULL,320,320,0,0,0,CSH001,joypur,28:22.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,15.24,7.62,7.62,0,304.76,Footwear-Syn
83,C015,DIV19,INC,INC/00000026/19-20/F788CB8A-ED3B-44CD-BE12-B6D487128FB6,6,00:00.0,3,5370,0,1,6,1,299,0,0,299,0,NULL,299,299,0,0,0,CSH001,joypur,28:22.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,14.24,7.12,7.12,0,284.76,Footwear-Syn
84,C015,DIV19,INC,INC/00000027/19-20/3FD13AFD-4B3D-4049-8421-FD6D1DED5ADD,6,00:00.0,1,5318,0,0,6,1,280,0,0,280,0,NULL,280,280,0,0,0,CSH001,joypur,39:59.5,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,13.33,6.67,6.67,0,266.67,Footwear-Syn
85,C015,DIV19,INR,INR/00000020/19-20/E0ECEFBB-E48A-4B92-B92C-4C4B5E8289E5,6,00:00.0,1,102625,0,1,4,1,370,0,0,370,0,NULL,370,370,0,0,0,CSH001,joypur,49:48.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,17.62,8.81,8.81,0,352.38,Footwear-Syn
86,C015,DIV19,INC,INC/00000028/19-20/D2927FA4-6683-4F9E-9F3D-10A970ABE758,12,00:00.0,1,200221,0,1,9,1,665,0,0,665,0,NULL,665,665,0,0,0,CSH001,joypur,53:32.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,31.67,15.83,15.83,0,633.33,Footwear-Lth
87,C015,DIV19,INC,INC/00000028/19-20/D2927FA4-6683-4F9E-9F3D-10A970ABE758,12,00:00.0,2,17812,0,0,9,1,300,0,0,300,0,NULL,300,300,0,0,0,CSH001,joypur,53:32.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,14.29,7.14,7.14,0,285.71,Footwear-Syn
88,C015,DIV19,INC,INC/00000028/19-20/D2927FA4-6683-4F9E-9F3D-10A970ABE758,8,00:00.0,3,13847,0,0,1,1,327,0,0,327,0,NULL,327,327,0,0,0,CSH001,joypur,53:32.6,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42033000,18,49.88,24.94,24.94,0,277.12,Belt
89,C015,DIV19,INC,INC/00000028/19-20/D2927FA4-6683-4F9E-9F3D-10A970ABE758,10,00:00.0,4,3639,0,1,1,1,80,0,0,80,0,NULL,80,80,0,0,0,CSH001,joypur,53:32.6,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,12.2,6.1,6.1,0,67.8,Polish
90,C015,DIV19,INC,INC/00000029/19-20/548EDFA0-843B-4BEE-8644-66DA4066231E,1,00:00.0,1,93933,0,1,1,1,399,0,0,399,0,NULL,399,399,0,0,0,CSH001,joypur,02:12.1,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42033000,18,60.86,30.43,30.43,0,338.14,Belt
91,C015,DIV19,INC,INC/00000029/19-20/548EDFA0-843B-4BEE-8644-66DA4066231E,8,00:00.0,2,3628,0,1,1,1,56,0,0,56,0,NULL,56,56,0,0,0,CSH001,joypur,02:12.1,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,8.54,4.27,4.27,0,47.46,Polish
